"G","A","PM","PIM","S","ATOI","BLK","HIT","FO","Pos"
0,6,-9,23,103,1105,68,40,0,"D"
15,25,22,37,148,1041,55,117,42.9,"C"
9,16,10,12,129,906,33,53,46.7,"C"
2,6,2,8,62,806,54,78,0,"D"
1,6,6,10,32,783,8,1,0,"W"
17,8,-7,33,118,801,51,35,48.8,"C"
19,15,-13,24,136,1016,41,15,39.4,"C"
16,19,20,12,105,953,31,36,51.3,"C"
6,11,6,14,124,747,46,207,15.4,"W"
13,19,1,39,187,988,83,205,55.5,"C"
0,15,-8,27,107,975,88,71,0,"D"
2,6,-2,6,33,1880,48,42,0,"D"
15,39,13,78,129,1113,35,87,55.4,"C"
5,9,-11,14,42,959,9,8,48.6,"W"
8,7,10,41,121,1053,155,201,0,"D"
9,16,3,58,168,1526,135,114,0,"D"
3,8,-6,22,88,1173,135,101,0,"D"
21,29,3,24,186,1020,47,48,50.1,"C"
3,3,0,62,19,560,11,46,20,"W"
5,12,2,12,73,2784,22,21,54,"W"
16,41,10,30,249,1476,124,92,0,"D"
3,3,-7,16,50,1063,11,51,46,"W"
2,2,-4,6,35,683,33,26,44.1,"C"
14,39,24,24,253,1468,120,80,0,"D"
12,10,-10,26,113,878,26,33,36.7,"C"
6,4,1,12,44,757,12,22,25,"W"
1,2,1,4,33,1165,34,58,0,"D"
32,23,2,42,211,1006,26,94,50,"C"
4,7,-9,12,46,768,23,29,53,"C"
0,1,-7,20,31,1035,41,46,0,"D"
29,25,-9,82,307,2378,34,159,44.4,"W"
27,49,-20,32,285,1211,14,18,38.9,"W"
7,2,-1,4,55,675,9,57,14.3,"W"
9,53,-25,36,196,1604,120,58,0,"D"
8,11,-5,26,76,795,69,81,66.7,"C"
43,35,49,12,184,1123,45,48,48,"C"
20,18,18,14,146,835,26,28,19.2,"W"
7,12,-8,92,86,700,9,129,20.8,"W"
2,30,-29,28,187,1430,165,41,0,"D"
23,42,-7,24,212,1085,28,7,47.4,"W"
16,21,11,49,119,800,18,91,38.5,"W"
3,7,14,26,82,1924,82,57,0,"D"
19,24,-7,28,81,807,35,42,42.1,"C"
8,6,-4,46,78,1082,38,71,53.4,"C"
34,58,-4,36,261,1121,17,10,31.6,"W"
11,10,-7,47,73,762,39,128,45.4,"W"
15,32,22,45,156,990,25,82,40,"W"
5,16,-12,18,203,1371,136,49,0,"D"
8,59,10,26,204,1444,109,44,0,"D"
4,4,4,18,43,674,24,36,0,"D"
14,31,9,46,170,1109,53,51,51.4,"C"
7,12,0,31,114,947,48,219,52.8,"C"
24,23,17,46,177,894,53,97,33.3,"C"
35,57,21,20,200,1325,64,50,54.1,"C"
16,21,-2,44,137,937,24,103,41.7,"W"
17,27,10,18,119,1013,35,31,51.9,"C"
4,23,-14,36,76,1111,107,82,0,"D"
14,45,0,36,197,1224,73,79,0,"D"
1,5,-6,28,30,650,16,56,55.4,"C"
39,61,15,42,279,1189,15,31,60,"W"
2,6,-6,6,63,601,50,139,16.7,"W"
2,6,-3,27,73,779,49,45,0,"D"
3,8,6,22,48,1024,78,69,0,"D"
13,16,8,35,81,717,30,131,36.8,"W"
6,8,-5,40,134,735,22,143,46.5,"C"
27,56,3,48,187,1129,26,50,44.2,"C"
11,29,-6,32,156,861,23,31,31.2,"W"
12,17,11,24,112,954,40,76,10,"W"
44,26,8,24,241,989,43,74,25.6,"W"
25,37,16,37,183,1209,51,149,51.4,"W"
16,47,-9,61,232,1191,42,76,49.9,"C"
4,9,10,34,92,1316,140,239,0,"D"
4,13,-30,49,86,847,47,117,54.5,"C"
10,10,-10,42,108,667,27,126,52,"C"
2,10,-8,23,65,591,26,130,39.7,"W"
10,32,-42,20,153,1345,104,95,0,"D"
40,22,-25,44,208,1036,38,102,68.8,"W"
12,9,-11,20,164,989,23,71,36.7,"W"
3,5,-8,14,45,631,21,55,57,"C"
1,4,-7,6,48,629,19,10,60,"W"
5,17,-4,14,95,1732,22,32,57.1,"W"
9,42,-9,56,222,1520,108,109,0,"D"
9,14,-17,10,111,1515,32,62,53.3,"C"
